107003-BR-10230-0004,107003,Khubon,,,,,,,คันนายาว,กรุงเทพมหานคร,กรุงเทพมหานคร,10230,,,
107003-BR-12120-0016,107003,คลองหลวง 19,,,,,,คลองหนึ่ง,คลองหลวง,ปทุมธานี,กลาง,12120,,,
103029-BR-60140-0002,103029,0,,,,,,หนองโพ,ตาคลี,นครสวรรค์,กลาง,60140,,,
107003-BR-30000-0012,107003,ม.บ้านโฮมการ์เด้นวิลล์ 2,,,,,,สุรนารี,เมืองนครราชสีมา,นครราชสีมา,ตะวันออกเฉียงเหนือ,30000,,,
107015-BR-60140-0002,107015,ตาคลี,,,,,,0,ตาคลี,นครสวรรค์,กลาง,60140,,,
107014-BR-13170-0001,107014,DC Wongnoi (Data Center),188/1,4,,พหลโยธิน,,ลำไทร,วังน้อย,พระนครศรีอยุธยา,กลาง,13170,,14.185681,100.6295192
107014-BR-13170-0001,107014,DC Wongnoi (Data Center),188/1,4,,พหลโยธิน,,ลำไทร,วังน้อย,พระนครศรีอยุธยา,กลาง,13170,,14.185681,100.6295192
107015-BR-20160-0007,107015,ตลาดสยามนินจา,,,,,,หนองหงส์,พานทอง,ชลบุรี,ตะวันออก,20160,,,
107003-BR-18140-0003,107003,ถนนบันเทิง,,,,,,ปากเพรียว,หนองแค,สระบุรี,กลาง,18140,,,
107014-BR-12160-0001,107014,สามโคก,,,,,,คลองควาย,ลำลูกกา,ปทุมธานี,กลาง,12160,,,
107014-BR-12160-0001,107014,สามโคก,,,,,,คลองควาย,ลำลูกกา,ปทุมธานี,กลาง,12160,,,
107016-BR-20150-0001,107016,ท็อปพัทยา,,,,,,เมืองพัทยา,บางละมุง,ชลบุรี,ตะวันออก,20150,,,
107010-BR-30000-0001,107010,ตลาดเซฟวัน,,,,,,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,ตะวันออกเฉียงเหนือ,30000,,,
000000-BR-00000-0002,0,Kanchanaburi (KAB),,,,,,0,1/2/2018-31/1/2019,0,0,0,,,
107014-BR-13170-0001,107014,DC Wongnoi (Data Center),188/1,4,,พหลโยธิน,,ลำไทร,วังน้อย,พระนครศรีอยุธยา,กลาง,13170,,14.185681,100.6295192
107015-BR-12140-0005,107015,ม.บ้านชาติไพริน,,,,,,ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,กลาง,12140,,,
107015-BR-66000-0004,107015,ท่าหลวง,,,,,,ในเมือง,ท่าหลวง,พิจิตร,กลาง,66000,,,
107015-BR-66000-0004,107015,ท่าหลวง,,,,,,ในเมือง,ท่าหลวง,พิจิตร,กลาง,66000,,,
107003-BR-20110-0007,107003,มินิบิ๊กซีไร่กล้วย2 ศรีราชา,,,,,,สุรศักดิ์,ศรีราชา,ชลบุรี,ตะวันออก,20110,,,
107015-BR-30210-0001,107015,ด่านขุนทด,,,,,,ด่านขุนทด,ด่านขุนทด,นครราชสีมา,ตะวันออกเฉียงเหนือ,30210,,,
000000-BR-00000-0001,0,Phetchabun (PEIB),,,,,,0,1/2/2018-31/1/2019,0,0,0,,,
107015-BR-47120-0001,107015,วานรนิวาส,,,,,,วานรนิวาส,วานรนิวาส,สกลนคร,ตะวันออกเฉียงเหนือ,47120,,,
107003-BR-21000-0004,107003,0,,,,,,เนินพระ,เมืองระยอง,ระยอง,ตะวันออก,21000,,,
107015-BR-30210-0001,107015,ด่านขุนทด,,,,,,ด่านขุนทด,ด่านขุนทด,นครราชสีมา,ตะวันออกเฉียงเหนือ,30210,,,
107015-BR-12140-0005,107015,ม.บ้านชาติไพริน,,,,,,ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,กลาง,12140,,,
107015-BR-30210-0001,107015,ด่านขุนทด,,,,,,ด่านขุนทด,ด่านขุนทด,นครราชสีมา,ตะวันออกเฉียงเหนือ,30210,,,
107003-BR-45000-0002,#N/A,0,,,,,,0,0,0,0,#N/A,,,
103033-BR-20180-0001,#N/A,#N/A,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,
107003-BR-13160-0007,107003,ม.บ้านเดอะแกรนด์วิลล่า,,,,,,บางปะอิน,บางปะอิน,อยุธยา,กลาง,13160,,,
104002-BR-92000-0001,104002,ตรัง,,,,,,0,เมืองตรัง,ตรัง,ใต้,92000,,,
107015-BR-21180-0008,107015,นิคมพัฒนา,,,,,,นิคมพัฒนา,นิคมพัฒนา,ระยอง,ตะวันออก,21180,,,
107015-BR-21180-0008,107015,นิคมพัฒนา,,,,,,นิคมพัฒนา,นิคมพัฒนา,ระยอง,ตะวันออก,21180,,,
107014-BR-13170-0001,107014,DC Wongnoi (Data Center),188/1,4,,พหลโยธิน,,ลำไทร,วังน้อย,พระนครศรีอยุธยา,กลาง,13170,,14.185681,100.6295192
107014-BR-13170-0001,107014,DC Wongnoi (Data Center),188/1,4,,พหลโยธิน,,ลำไทร,วังน้อย,พระนครศรีอยุธยา,กลาง,13170,,14.185681,100.6295192
107014-BR-13170-0001,107014,DC Wongnoi (Data Center),188/1,4,,พหลโยธิน,,ลำไทร,วังน้อย,พระนครศรีอยุธยา,กลาง,13170,,14.185681,100.6295192
107015-BR-20140-0006,#N/A,0,,,,,,0,0,0,0,#N/A,,,
107015-BR-58110-0001,#N/A,0,,,,,,0,0,0,0,#N/A,,,
107015-BR-20260-0004,107015,"เขาตาโล่ 3 (พัทยา),ชลบุรี",,,,,,1,0,0,0,0,,,
107015-BR-10700-0010,#N/A,0,,,,,,0,0,0,0,#N/A,,,
